"id","Player","Lose_or_Win"
0,rock,1
1,rock,1
2,rock,1
3,rock,1
4,rock,1
5,rock,1
6,rock,1
7,rock,1
8,rock,1
9,rock,1
10,scissor,2
11,rock,1
10,rock,1
11,rock,1
12,rock,1
13,paper,3
14,paper,3
15,scissor,2
16,rock,1
17,paper,3
18,scissor,2
19,scissor,3
20,scissor,3
21,scissor,1
22,rock,1
23,rock,1
24,rock,1
25,rock,1
26,paper,1
27,paper,2
28,paper,2
29,paper,2
30,paper,2
31,rock,2
32,paper,1
33,paper,1
34,rock,1
35,rock,2
36,paper,2
37,rock,2
38,scissor,1
39,rock,2
40,paper,1
41,scissor,2
42,scissor,2
43,rock,3
44,rock,3
45,paper,1
46,rock,2
47,scissor,1
48,rock,2
49,paper,2
50,rock,2
51,paper,1
52,rock,2
53,paper,1
54,paper,3
55,scissor,1
56,rock,1
57,paper,3
58,rock,2
59,paper,2
60,rock,2
61,scissor,2
62,rock,2
63,paper,2
64,rock,3
65,rock,2
66,paper,2
67,papper,2
68,rock,1
69,paper,1
70,paper,1
71,rock,2
72,paper,1
73,paper,1
74,rock,1
75,scissor,3
76,rock,2
77,rock,2
78,scissor,2
79,rock,3
80,rock,3
81,rock,2
82,rock,3
83,rock,3
84,rock,3
85,paper,3
86,rock,2
87,scissor,1
88,rock,1
89,paper,2
90,rock,2
91,rock,2
92,paper,2
93,scissor,2
94,rock,1
95,rock,2
96,paper,2
97,scissor,2
98,scissor,1
99,rock,2
100,rock,2
101,paper,3
102,rock,2
103,paper,1
105,scissor,3
106,rock,2
107,paper,1
108,rock,3
109,rock,2
110,scissor,2
111,rock,3
112,rock,2
113,rock,2
114,paper,3
115,rock,2
116,scissor,1
117,rock,2
118,paper,1
119,rock,2
120,paper,3
121,rock,1
122,rock,1
123,paper,3
124,scissor,2
125,rock,1
126,rock,1
127,rock,1
128,rock,1
129,rock,1
130,rock,1
131,paper,3
132,paper,3
